21_albert_bourla|AND IN GENERAL THE ADVANCE OF MEDICINE HAS SAVED BILLIONS OF LIVES|AND IN GENERAL THE ADVANCE OF MEDICINE HAS SAVED BILLIONS OF LIVES
22_albert_bourla|IF YO IGNORE THE POWER OF SCIENCE|IF YO IGNORE THE POWER OF SCIENCE
23_albert_bourla|YOU ARE NOT BEING HONEST WITH THE LESSONS OF HISTORY|YOU ARE NOT BEING HONEST WITH THE LESSONS OF HISTORY
24_albert_bourla|AND|AND
25_albert_bourla|IF YOU IGNORE THE CORRUPTING NATURE OF POWER AND MONEY WITHIN INSTITUTIONS|IF YOU IGNORE THE CORRUPTING NATURE OF POWER AND MONEY WITHIN INSTITUTIONS
26_albert_bourla|INCLUDING GOVERNMENTS AND COMPANIES|INCLUDING GOVERNMENTS AND COMPANIES
27_albert_bourla|THAT LED TO THE SUFFERING AND DEATH OF HUNDREDS OF MILLIONS IN THE PAST CENTURY|THAT LED TO THE SUFFERING AND DEATH OF HUNDREDS OF MILLIONS IN THE PAST CENTURY
28_albert_bourla|YOU ARE ONCE AGAIN|YOU ARE ONCE AGAIN
29_albert_bourla|NOT BEING HONEST WITH THE LESSONS OF HISTORY|NOT BEING HONEST WITH THE LESSONS OF HISTORY
30_albert_bourla|AND A LOT OF PEOPLE WROTE TO ME|AND A LOT OF PEOPLE WROTE TO ME
31_albert_bourla|MY OWN OPINION WORTH LITTLE AS IT IS|MY OWN OPINION WORTH LITTLE AS IT IS
32_albert_bourla|FOR THE REST|FOR THE REST
33_albert_bourla|FROM SAFETY IN EFFICACY TO POLICY AND ECONOMICS|FROM SAFETY IN EFFICACY TO POLICY AND ECONOMICS
34_albert_bourla|I STAND HUMBLED|I STAND HUMBLED
35_albert_bourla|BEFORE COMPLICATED WORLD FULL OF FEAR AND ANGER|BEFORE COMPLICATED WORLD FULL OF FEAR AND ANGER
36_albert_bourla|A SMALL NUMBER OF MALICIOUS PEOPLE FROM ALL WALKS OF LIFE|A SMALL NUMBER OF MALICIOUS PEOPLE FROM ALL WALKS OF LIFE
37_albert_bourla|WELL USE THAT FEAR IN ANGER TO DIVIDE US|WELL USE THAT FEAR IN ANGER TO DIVIDE US
38_albert_bourla|BECAUSE THE DIVISION MAKES THEM MONEY|BECAUSE THE DIVISION MAKES THEM MONEY
39_albert_bourla|AND GIVES THEM POWER|AND GIVES THEM POWER
40_albert_bourla|I TOOK TWO SHOTS OF THE PHIES OF AXINE THIS WAS MY DECISION|I TOOK TWO SHOTS OF THE PHIES OF AXINE THIS WAS MY DECISION
0_barry_barish|THE FOLLOWING IS A CONVERSATION WITH BERY BARISH|THE FOLLOWING IS A CONVERSATION WITH BERY BARISH
1_barry_barish|A THEORETICAL PHYSICIST AT CALTEC|A THEORETICAL PHYSICIST AT CALTEC
2_barry_barish|AND THE WINNER OF THE NOBLE PRIZE AND PHYSICS|AND THE WINNER OF THE NOBLE PRIZE AND PHYSICS
3_barry_barish|LAGO OR THE LAZER INTO PHAROMETER OR GRAVITATIONAL WAVE OBSERVATORY|LAGO OR THE LAZER INTO PHAROMETER OR GRAVITATIONAL WAVE OBSERVATORY
4_barry_barish|IS PROBABLY THE MOST PRECISE MEASUREMENT DEVICE EVER BUILT|IS PROBABLY THE MOST PRECISE MEASUREMENT DEVICE EVER BUILT
5_barry_barish|BY HUMANS|BY HUMANS
6_barry_barish|IT CONSISTS OF TWO DETECTIVES WITH FOUR CILOMETA ALONG VACUUM CHAMBERS|IT CONSISTS OF TWO DETECTIVES WITH FOUR CILOMETA ALONG VACUUM CHAMBERS
7_barry_barish|SITUATED|SITUATED
8_barry_barish|THREE THOUSAND KILOMETERS APART|THREE THOUSAND KILOMETERS APART
9_barry_barish|IT IS THE SMALLEST MEASUREMENT EVER ATTEMPTED BY SCIENCE|IT IS THE SMALLEST MEASUREMENT EVER ATTEMPTED BY SCIENCE
10_barry_barish|OCCURRING OVER TENS OF MILLIONS OF LIGHT YEARS AWAY|OCCURRING OVER TENS OF MILLIONS OF LIGHT YEARS AWAY
11_barry_barish|TO SUPPORT THIS POT GAST PLEASE SHUCK OUT OUR SPONSORS IN THE DESCRIPTION|TO SUPPORT THIS POT GAST PLEASE SHUCK OUT OUR SPONSORS IN THE DESCRIPTION
12_barry_barish|THIS IS THE LEX FRIEDMAN POT GASTE|THIS IS THE LEX FRIEDMAN POT GASTE
13_barry_barish|AND HERE IS MY CONVERSATION WITH BERRY|AND HERE IS MY CONVERSATION WITH BERRY
0_brendan_eich|THE FOLLOWING IS A CONVERSATION WITH BRANDON IKE|THE FOLLOWING IS A CONVERSATION WITH BRANDON IKE
1_brendan_eich|CREATOR OF THE JALISCRI PROGRAMMING LANGUAGE|CREATOR OF THE JALISCRI PROGRAMMING LANGUAGE
2_brendan_eich|EACH OF THESE ARE REVOLUTIONARY TECHNOLOGIES|EACH OF THESE ARE REVOLUTIONARY TECHNOLOGIES
3_brendan_eich|JOLOSCRIPT|JOLOSCRIPT
4_brendan_eich|IS ONE OF THE MOST WIDELY USED AND IMPACTFUL PROGRAMMING LANGUAGES|IS ONE OF THE MOST WIDELY USED AND IMPACTFUL PROGRAMMING LANGUAGES
5_brendan_eich|IN THE WORLD|IN THE WORLD
6_brendan_eich|AND BRAVE IS LOOKINGTO REVOLUTIONIZES NOT ONLY THE BROWSER BUT CONTENT CREATION ON LINE AND THE NATURE OF THE INTRINET TO MAKE YOU FUNDAMENTALLY ABOUT RESPECTING PEOPLE'S CONTROL OVER THEIR DATA|AND BRAVE IS LOOKINGTO REVOLUTIONIZES NOT ONLY THE BROWSER BUT CONTENT CREATION ON LINE AND THE NATURE OF THE INTRINET TO MAKE YOU FUNDAMENTALLY ABOUT RESPECTING PEOPLE'S CONTROL OVER THEIR DATA
7_brendan_eich|QUICK MENTION OF OUR SPONSORS|QUICK MENTION OF OUR SPONSORS
8_brendan_eich|THE GOURDANT HARMONGIST SHOW|THE GOURDANT HARMONGIST SHOW
9_brendan_eich|SOMEBASKIN MEAL DELIVERY SERVICE|SOMEBASKIN MEAL DELIVERY SERVICE
10_brendan_eich|BETTER HELP ON LINE THERE BE AND EGT SLEEP SELF COULLY MATTRESS|BETTER HELP ON LINE THERE BE AND EGT SLEEP SELF COULLY MATTRESS
11_brendan_eich|CLICKED THE SPONSOR LYNX TO GET A DISCOUNT AT TO SUPPORT THIS PODCAST|CLICKED THE SPONSOR LYNX TO GET A DISCOUNT AT TO SUPPORT THIS PODCAST
12_brendan_eich|THAT I'VE BEEN THINKING A LOT ABOUT|THAT I'VE BEEN THINKING A LOT ABOUT
13_brendan_eich|I TWEATED SOMETHING LIKE|I TWEATED SOMETHING LIKE
14_brendan_eich|GOOD EXECUTION IS MORE IMPORTANT THAN A GOOD IDEA|GOOD EXECUTION IS MORE IMPORTANT THAN A GOOD IDEA
15_brendan_eich|BUT ONE HELPS THE OTHER|BUT ONE HELPS THE OTHER
16_brendan_eich|BUT IN MY EXPERIENCE GOOD IDEAS ARE IN ABUNDANCE|BUT IN MY EXPERIENCE GOOD IDEAS ARE IN ABUNDANCE
17_brendan_eich|GOOD EXECUTION ON THE OTHER HAND IS RARE|GOOD EXECUTION ON THE OTHER HAND IS RARE
18_brendan_eich|I THINK SOME MIXED OF GOOD TIMEING GOOD IDEA AND GOOD EXECUTION IS ESSENTIAL|I THINK SOME MIXED OF GOOD TIMEING GOOD IDEA AND GOOD EXECUTION IS ESSENTIAL
19_brendan_eich|GETTING THAT MEX RIGHT IS TOUGH|GETTING THAT MEX RIGHT IS TOUGH
20_brendan_eich|AND BRANDON SOMEHOW MULTIPLETIMES IN HIS CAREER DID JUST THAT|AND BRANDON SOMEHOW MULTIPLETIMES IN HIS CAREER DID JUST THAT
21_brendan_eich|I'M SORRY TO BELIEVE IT'S MORE ART THAN SCIENCE LIKE MOST INTERESTING THINGS IN LIFE|I'M SORRY TO BELIEVE IT'S MORE ART THAN SCIENCE LIKE MOST INTERESTING THINGS IN LIFE
22_brendan_eich|AND NOW HERE'S MY CONVERSATION WITH BRANDON IKE|AND NOW HERE'S MY CONVERSATION WITH BRANDON IKE
0_brian_muraresku|THE FOLLOWING IS A CONVERSATION WITH BRYAN MURE RESCUE|THE FOLLOWING IS A CONVERSATION WITH BRYAN MURE RESCUE
1_brian_muraresku|AUTHOR OF THE IMMORTALITY KEY|AUTHOR OF THE IMMORTALITY KEY
2_brian_muraresku|THE SECRET HISTORY OF THE RELIGION WITH NO NAME|THE SECRET HISTORY OF THE RELIGION WITH NO NAME
3_brian_muraresku|TO SUPPORT THE PODCAST|TO SUPPORT THE PODCAST
4_brian_muraresku|PLEASE CHECK UT OUR SPONSORS|PLEASE CHECK UT OUR SPONSORS
5_brian_muraresku|INSIDE TRACKER GIVE WELL|INSIDE TRACKER GIVE WELL
6_brian_muraresku|AND I INDEED AND MASTER CLASS|AND I INDEED AND MASTER CLASS
7_brian_muraresku|THEIR LINKS ARE IN THE DESCRIPTION|THEIR LINKS ARE IN THE DESCRIPTION
0_chris_duffin|THE FOLLOWING IS A CONVERSATION WITH CHRIS DUFFIN|THE FOLLOWING IS A CONVERSATION WITH CHRIS DUFFIN
1_chris_duffin|THE MAD SCIENTIST OF STRENGTH|THE MAD SCIENTIST OF STRENGTH
2_chris_duffin|HE'S ONE OF THE STRONGEST PEOPLE IN THE WORLD|HE'S ONE OF THE STRONGEST PEOPLE IN THE WORLD
3_chris_duffin|CHECK OUT HIS COMPANY KABOOKI' STRENGTH|CHECK OUT HIS COMPANY KABOOKI' STRENGTH
4_chris_duffin|AND ACHIEVED MANY OTHER AMAZING FEATS OF STRENGTH|AND ACHIEVED MANY OTHER AMAZING FEATS OF STRENGTH
5_chris_duffin|HE HAS LIVED ONE HELL OF A LIFE|HE HAS LIVED ONE HELL OF A LIFE
6_chris_duffin|QUICK MENTION OF OUR SPONSORS|QUICK MENTION OF OUR SPONSORS
7_chris_duffin|MAGIC SPOON SUN BASKET AND LADTER|MAGIC SPOON SUN BASKET AND LADTER
8_chris_duffin|CHECK THEM OUT IN THE DESCRIPTION TO SUPPORT THIS PYCAST|CHECK THEM OUT IN THE DESCRIPTION TO SUPPORT THIS PYCAST
9_chris_duffin|AS TE SIDE NOW LET ME SAY THAT I WAS ALWAYS A FAN O STRENGTH|AS TE SIDE NOW LET ME SAY THAT I WAS ALWAYS A FAN O STRENGTH
10_chris_duffin|BOTH POWER LIFTING AND OLYMPIC WEIGHT LIFTING|BOTH POWER LIFTING AND OLYMPIC WEIGHT LIFTING
11_chris_duffin|BOTH AS A FAN AND PRACTITIONER|BOTH AS A FAN AND PRACTITIONER
12_chris_duffin|AND THEN SMASHING PAST THOSE LIMITS|AND THEN SMASHING PAST THOSE LIMITS
13_chris_duffin|THA GEZGREY|THA GEZGREY
14_chris_duffin|THIS IS WHY I LOVE WATCHING THE ELYMPICS BOTH THE HEART BREAKS AND THE TRIUMPHS|THIS IS WHY I LOVE WATCHING THE ELYMPICS BOTH THE HEART BREAKS AND THE TRIUMPHS
15_chris_duffin|THIS IS THE LEX FREEDOM OF PODCAST AND HERE IS MY CONVERSATION WITH CHRIS|THIS IS THE LEX FREEDOM OF PODCAST AND HERE IS MY CONVERSATION WITH CHRIS
16_chris_duffin|DUFFIN|DUFFIN
0_donald_knuth|THE FOLLOWING IS A CONVERSATION WITH DONALD CANUTH|THE FOLLOWING IS A CONVERSATION WITH DONALD CANUTH
1_donald_knuth|HIS SECOND TIME IN THE SPOTCAST|HIS SECOND TIME IN THE SPOTCAST
2_donald_knuth|DAN IS A LEGENDARIC AND PURE SCIENTIST|DAN IS A LEGENDARIC AND PURE SCIENTIST
3_donald_knuth|TOURING AWARD WINNER|TOURING AWARD WINNER
4_donald_knuth|FATHER OF ALGRTHM ANALYSIS|FATHER OF ALGRTHM ANALYSIS
5_donald_knuth|AUTHOR OF THE ART OF COMPUTE PROGRAMMING|AUTHOR OF THE ART OF COMPUTE PROGRAMMING
6_donald_knuth|CREATOR OF TAC THAT LED TO LATAC|CREATOR OF TAC THAT LED TO LATAC
7_donald_knuth|I WROTE HIM A LETTER A LONG TIME AGO|I WROTE HIM A LETTER A LONG TIME AGO
8_donald_knuth|HE RESPONDED|HE RESPONDED
9_donald_knuth|AND THE REST AS THEY SAY IS HISTORY|AND THE REST AS THEY SAY IS HISTORY
10_donald_knuth|TO SUPPORT THE PODCAST PLEASE CHECK UT OUR SPONSORS IN THE DESCRIPTION|TO SUPPORT THE PODCAST PLEASE CHECK UT OUR SPONSORS IN THE DESCRIPTION
11_donald_knuth|THIS IS THE LEX FREEDMAN PODCAST|THIS IS THE LEX FREEDMAN PODCAST
12_donald_knuth|AND HERE IS MY CONVERSATION|AND HERE IS MY CONVERSATION
13_donald_knuth|CUNERTH|CUNERTH
0_douglas_lenat|THE FOLLOWING IS A CONVERSATION WITH DUG LEEONETT|THE FOLLOWING IS A CONVERSATION WITH DUG LEEONETT
1_douglas_lenat|CREATOR OF SYCE|CREATOR OF SYCE
2_douglas_lenat|THE ACQUISITION OF COMMON SENSE KNOWLEDGE AND THE USE OF THAT KNOWLEDGE TO THINK|THE ACQUISITION OF COMMON SENSE KNOWLEDGE AND THE USE OF THAT KNOWLEDGE TO THINK
3_douglas_lenat|TO REASON AND TO UNDERSTAND THE WORLD|TO REASON AND TO UNDERSTAND THE WORLD
4_douglas_lenat|TO SUPPORT THE SPOT GUESS PLEASE CHACK OUT OUR SPONSORS IN THE DESCRIPTION|TO SUPPORT THE SPOT GUESS PLEASE CHACK OUT OUR SPONSORS IN THE DESCRIPTION
5_douglas_lenat|JUST HOW LITTLE WE UNDERSTAND EXACTLY HOW TO BUILD THE KIND OF INTELLIGENCE THAT MATCHES THE POWER OF THE HUMAN MIND|JUST HOW LITTLE WE UNDERSTAND EXACTLY HOW TO BUILD THE KIND OF INTELLIGENCE THAT MATCHES THE POWER OF THE HUMAN MIND
6_douglas_lenat|TO ME MANY OF THE COIDEAS BEHIND SYKE|TO ME MANY OF THE COIDEAS BEHIND SYKE
7_douglas_lenat|GENERAL SUPERINTELLIGENCE|GENERAL SUPERINTELLIGENCE
8_douglas_lenat|BUT PERHAPS MORE IMPORTANTLY|BUT PERHAPS MORE IMPORTANTLY
9_douglas_lenat|THE NATURE OF TRUTH|THE NATURE OF TRUTH
10_douglas_lenat|THIS IS THE LEX REEDMEN PODCAST AND HERE IS MY CONVERSATION WIL DUG LENNIT|THIS IS THE LEX REEDMEN PODCAST AND HERE IS MY CONVERSATION WIL DUG LENNIT
0_eric_weinstein|THE FOLLOWING IS A CONVERSATION WITH ERIC WEINSTEIN|THE FOLLOWING IS A CONVERSATION WITH ERIC WEINSTEIN
1_eric_weinstein|HIS FOURTH TIME ON THE POD GAS|HIS FOURTH TIME ON THE POD GAS
2_eric_weinstein|BOTH SADNESS AND HOPE|BOTH SADNESS AND HOPE
3_eric_weinstein|RUN THROUGH HIS HEART AND IS MIND|RUN THROUGH HIS HEART AND IS MIND
4_eric_weinstein|QUICK MENTION OF OUR SPONSORS|QUICK MENTION OF OUR SPONSORS
5_eric_weinstein|INDEED HIRING SIGT|INDEED HIRING SIGT
6_eric_weinstein|FERRAGON MUSTE RECOVERY DEVICE|FERRAGON MUSTE RECOVERY DEVICE
7_eric_weinstein|CLICK THE SPONSER LYNX TO GET A DISCOUNT AND TO SUPPORT THE SPOTCAST|CLICK THE SPONSER LYNX TO GET A DISCOUNT AND TO SUPPORT THE SPOTCAST
8_eric_weinstein|AND FORGIVE ME|AND FORGIVE ME
9_eric_weinstein|OR THE GUESTS|OR THE GUESTS
10_eric_weinstein|FOR A MISSTEP IN AN IMPERFECTLY THOUGHT OUT STATEMENT|FOR A MISSTEP IN AN IMPERFECTLY THOUGHT OUT STATEMENT
11_eric_weinstein|AND THEN LEARN FROM THOSE MISTAKES|AND THEN LEARN FROM THOSE MISTAKES
12_eric_weinstein|TRY TO ASSUME THAT THE PEOPLE IN THIS CONVERSATION ARE JUST PEOPLE IN GENERAL|TRY TO ASSUME THAT THE PEOPLE IN THIS CONVERSATION ARE JUST PEOPLE IN GENERAL
13_eric_weinstein|BUT NOT PERFECT|BUT NOT PERFECT
14_eric_weinstein|AND FAR FROM IT|AND FAR FROM IT
15_eric_weinstein|IF YOU ENJOY THIS THING SUBSCRIBE BY NEUTUBE REVIEW AN APPAPA CAST FOLLOW US BODIFY SUPPORTED ON PATRION ARL CONNECT WITH ME ON TWITTER ELEX FREEDMAN|IF YOU ENJOY THIS THING SUBSCRIBE BY NEUTUBE REVIEW AN APPAPA CAST FOLLOW US BODIFY SUPPORTED ON PATRION ARL CONNECT WITH ME ON TWITTER ELEX FREEDMAN
16_eric_weinstein|AND NOW HERE'S MY CONVERSATION WITH ERIC|AND NOW HERE'S MY CONVERSATION WITH ERIC
0_jaron_lanier|THE FOLLOWING IS A CONVERSATION WITH JARIN LENEER|THE FOLLOWING IS A CONVERSATION WITH JARIN LENEER
1_jaron_lanier|TO SUPPORT THE SPOTCAST PLEASE CHECK OUT OUR RSPONSORS IN THE DESCRIPTION|TO SUPPORT THE SPOTCAST PLEASE CHECK OUT OUR RSPONSORS IN THE DESCRIPTION
2_jaron_lanier|HIM AND I AGREE ON MANY ASPECTS OF THIS|HIM AND I AGREE ON MANY ASPECTS OF THIS
3_jaron_lanier|AND BY TE ARTIFICIAL INTELLIGENT SYSTEMS THAT PUT LONG TERM INTERESTS AND HAPPINESS OF HUMAN BEINGS FIRST|AND BY TE ARTIFICIAL INTELLIGENT SYSTEMS THAT PUT LONG TERM INTERESTS AND HAPPINESS OF HUMAN BEINGS FIRST
4_jaron_lanier|LET ME ALSO SAY A GENERAL COMMENT ABOUT THESE CONVERSATIONS|LET ME ALSO SAY A GENERAL COMMENT ABOUT THESE CONVERSATIONS
5_jaron_lanier|THIS CAN BE CHALLENGING WHEN THE IDEAS THAT ARE CLOSE TO MY HEART ARE BEING CRITICISED|THIS CAN BE CHALLENGING WHEN THE IDEAS THAT ARE CLOSE TO MY HEART ARE BEING CRITICISED
6_jaron_lanier|IN THOSE CASES I DO OFFER A LITTLE PUSH BACK BUT RESPECTFULLY|IN THOSE CASES I DO OFFER A LITTLE PUSH BACK BUT RESPECTFULLY
7_jaron_lanier|AND THEN MUVAN|AND THEN MUVAN
8_jaron_lanier|TRYING TO HAVE THE OTHER PERSON COME OUT LOOKING WISER IN THE EXCHANGE|TRYING TO HAVE THE OTHER PERSON COME OUT LOOKING WISER IN THE EXCHANGE
9_jaron_lanier|I THINK THEREIS NO SUCH THING AS WINNING IN CONVERSATIONS|I THINK THEREIS NO SUCH THING AS WINNING IN CONVERSATIONS
10_jaron_lanier|NOR IN LIFE|NOR IN LIFE
11_jaron_lanier|MY GO IS TO LEARN AND HAVE FUN|MY GO IS TO LEARN AND HAVE FUN
12_jaron_lanier|I ASKED THAT YOU DON'T SEE MY APPROACH TO THESE CONVERSATIONS AS WEAKNESS|I ASKED THAT YOU DON'T SEE MY APPROACH TO THESE CONVERSATIONS AS WEAKNESS
13_jaron_lanier|IT IS NOT|IT IS NOT
14_jaron_lanier|IT IS MY ATTEMPT AT SHOWING RESPECT|IT IS MY ATTEMPT AT SHOWING RESPECT
15_jaron_lanier|AND LOVE FOR THE OTHER PERSON|AND LOVE FOR THE OTHER PERSON
16_jaron_lanier|THAT SAID|THAT SAID
17_jaron_lanier|I ALSO OFTEN JUST DO A BAD JOB OF TALKING|I ALSO OFTEN JUST DO A BAD JOB OF TALKING
18_jaron_lanier|BUT YOU PROBABLY ALREADY KNEW THAT|BUT YOU PROBABLY ALREADY KNEW THAT
19_jaron_lanier|SO PLEASE GIVE ME A PASS ON THAT AS WELL|SO PLEASE GIVE ME A PASS ON THAT AS WELL
0_jason_calacanis|THE FOLLOWING IS A CONVERSATION WITH JASON CALICHANUS|THE FOLLOWING IS A CONVERSATION WITH JASON CALICHANUS
1_jason_calacanis|WHO'S NOT TO PURNEERE|WHO'S NOT TO PURNEERE
2_jason_calacanis|HE'S A FUN BRILLIANT LONG TIME PODCAST HOST|HE'S A FUN BRILLIANT LONG TIME PODCAST HOST
3_jason_calacanis|OF THIS WEEK IN STARTUPS|OF THIS WEEK IN STARTUPS
4_jason_calacanis|AND DAVID FRIEDBERG|AND DAVID FRIEDBERG
5_jason_calacanis|WHO ALL HAPPENED TO BE POKER BODIES AND SELF PROCLAIMED BESTIES|WHO ALL HAPPENED TO BE POKER BODIES AND SELF PROCLAIMED BESTIES
6_jason_calacanis|THE RESULT IS ALWAYS A GREAT LISSON DUE TO BOTH THE LOVE|THE RESULT IS ALWAYS A GREAT LISSON DUE TO BOTH THE LOVE
7_jason_calacanis|AND THE HEATED DISAGREEMENTS|AND THE HEATED DISAGREEMENTS
8_jason_calacanis|QUICK MENTION OF OUR SPONSORS|QUICK MENTION OF OUR SPONSORS
9_jason_calacanis|BRAVE BROWSER LINOD LINOX VIRTUAL MACHINES|BRAVE BROWSER LINOD LINOX VIRTUAL MACHINES
10_jason_calacanis|FOR SIGMATIC MUSHAM COFFEE|FOR SIGMATIC MUSHAM COFFEE
11_jason_calacanis|AND REV SPICIE TEX SERVICE|AND REV SPICIE TEX SERVICE
12_jason_calacanis|CLICKE TE SPONSER LYNX TO GET A DISCONT AND TO SUPPORT THE SPOT GAST|CLICKE TE SPONSER LYNX TO GET A DISCONT AND TO SUPPORT THE SPOT GAST
13_jason_calacanis|GIVE YOU A BIT OF CONTACTS ON THE SIDE OF STUDIED TRADING FROM AN ALGRYTHMIC TRADING PERSPECTIVE AS A MACHINE LEARNING AND A GAME THEORY PROBLEM OFTEN ON FOR A FEW YEARS AN UNDERGRAD AND GRASCHOOL|GIVE YOU A BIT OF CONTACTS ON THE SIDE OF STUDIED TRADING FROM AN ALGRYTHMIC TRADING PERSPECTIVE AS A MACHINE LEARNING AND A GAME THEORY PROBLEM OFTEN ON FOR A FEW YEARS AN UNDERGRAD AND GRASCHOOL
14_jason_calacanis|BUT NOW I FIND EVEN MORE FASCINATING THE HUMAN SIDE OF THE WHOLE THING|BUT NOW I FIND EVEN MORE FASCINATING THE HUMAN SIDE OF THE WHOLE THING
15_jason_calacanis|IDEAS OF GREED|IDEAS OF GREED
16_jason_calacanis|POWER FREEDOM AND TRUTH|POWER FREEDOM AND TRUTH
17_jason_calacanis|WASTREE BETS ROBIN HOOD AND WHOLE BEAUTIFUL MESS AROUND THIS TOPIC|WASTREE BETS ROBIN HOOD AND WHOLE BEAUTIFUL MESS AROUND THIS TOPIC
18_jason_calacanis|IF YOU ENJOY THIS THING SUBSCRIBED BY NUTUBE REVIEW IT ON APAPA GAST FOLLOW AND SPOTIFY SUPPORT ON PATRION O CONNECT WITH ME ON TWITTER ALEX FREEDMAN|IF YOU ENJOY THIS THING SUBSCRIBED BY NUTUBE REVIEW IT ON APAPA GAST FOLLOW AND SPOTIFY SUPPORT ON PATRION O CONNECT WITH ME ON TWITTER ALEX FREEDMAN
19_jason_calacanis|AND NOW HEREIS MY CONVERSATION WITH JASON COLECANIS|AND NOW HEREIS MY CONVERSATION WITH JASON COLECANIS
0_jed_buchwald|THE FOLLOWING IS A CONVERSATION WITH JED BUCKWALD|THE FOLLOWING IS A CONVERSATION WITH JED BUCKWALD
1_jed_buchwald|A PROFESSOR OF HISTORY AND A PHILOSOPHER OF SCIENCE AT CALTEQUE|A PROFESSOR OF HISTORY AND A PHILOSOPHER OF SCIENCE AT CALTEQUE
2_jed_buchwald|THE SUPPORT THE SPOTCAST PLEASE CHECK OUT OUR SPONSORS IN THE DESCRIPTION|THE SUPPORT THE SPOTCAST PLEASE CHECK OUT OUR SPONSORS IN THE DESCRIPTION
3_jed_buchwald|THIS IS THE LEX FREEDMENT PODCASS|THIS IS THE LEX FREEDMENT PODCASS
4_jed_buchwald|AND HERE IS MY CONVERSATION WI JED BUCKWALD|AND HERE IS MY CONVERSATION WI JED BUCKWALD
0_jeff_hawkins|THE FOLLOWING IS A CONVERSATION WITH JEFF HAWKINS|THE FOLLOWING IS A CONVERSATION WITH JEFF HAWKINS
1_jeff_hawkins|HE PREVIOUSLY WROUT THE SEMINAL BOOK ON THE SUBJECT TITLED ON INTELLIGENCE|HE PREVIOUSLY WROUT THE SEMINAL BOOK ON THE SUBJECT TITLED ON INTELLIGENCE
2_jeff_hawkins|AND RECENTLY A NEW BOOK CALLED A THOUSAND BRAINS|AND RECENTLY A NEW BOOK CALLED A THOUSAND BRAINS
3_jeff_hawkins|WHICH PRESENTS A NEW THEORY OF INTELLIGENCE|WHICH PRESENTS A NEW THEORY OF INTELLIGENCE
4_jeff_hawkins|THAT RICHARD DOCKINS|THAT RICHARD DOCKINS
5_jeff_hawkins|FOR EXAMPLE|FOR EXAMPLE
6_jeff_hawkins|HAS BEEN RAVING ABOUT|HAS BEEN RAVING ABOUT
7_jeff_hawkins|CALLING THE BOOK QUALLED BRILLIANT AND EXHILARATING|CALLING THE BOOK QUALLED BRILLIANT AND EXHILARATING
8_jeff_hawkins|QUICKMENTION OF OUR SPONSORS|QUICKMENTION OF OUR SPONSORS
9_jeff_hawkins|CHECK THEM ALL IN THE DESCRIPTION TO SUPPORT SPOTCAST|CHECK THEM ALL IN THE DESCRIPTION TO SUPPORT SPOTCAST
10_jeff_hawkins|IS THAT IF HUMAN CIVILIZATION WERE TO DESTROY ITSELF|IS THAT IF HUMAN CIVILIZATION WERE TO DESTROY ITSELF
11_jeff_hawkins|ALL OF KNOWLEDGE|ALL OF KNOWLEDGE
